OID_,Join_Count,TARGET_FID,Shape_Leng,Shape_Le_1,rid,RCA_area,h2oAreaKm2,RCA_poly_h2oAreaKm2,Join_Count_1,TARGET_FID_1,Join_Cou_1,TARGET_F_1,Dam_Type,Dam_Condit,Notes,Beaver_cre,Dam_Num,Surveyor,Dam_Cond_1,Beaver_C_1,OBJECTID_1,Shape_Leng_1,Area_m2,Notes_1,Length_m,Width_m,Dam_Num_1,Surveyor_1,TNMID,MetaSource,SourceData,SourceOrig,SourceFeat,LoadDate,GNIS_ID,AreaAcres,AreaSqKm,States,HUC12,Name,HUType,HUMod,ToHUC,NonContrib,NonContr_1,Shape_Le_12,Surveyed,Shape_Le_2,RECORDNUMB,ACRES,AFSNUMBER,DOFNUMBER,USFSNUMBER,ADDNUMBER,PERIMETERD,LATESTPERI,SOURCE,SOURCEMETH,SOURCECLAS,AGENCYACRE,ACREAGEMET,COMMENTS,FIREID,FIREYEAR,UPDATETIME,UPDATEUSER,USEDONFINA,FPOUTDATE,FPMERGEDDA,IRWINID,PRESCRIBED,FIRESEASON,Year,Years,Shape_Le_3,Z,Shape_Length
64,,,3706.693625519999841,3706.693625519999841,64,9.081283869980000,9.081283869980000,9.081283869977330,0,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3706.693625527706899
65,,,5088.006124679999630,5088.006124679999630,65,18.160899633300001,31.496678549399999,31.496678549383400,0,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5088.006124680910943
66,,,994.119863972999951,994.119863972999951,66,4.199842416700000,4.199842416700000,4.199842416700250,0,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,994.119863973695146
67,,,12186.875828800000818,12186.875828800000818,67,13.606261182800001,3668.985078879999946,3668.985078878400145,0,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12186.875828790645755
68,,,2274.191941300000053,2274.191941300000053,68,5.383341725110000,5.383341725110000,5.383341725109860,0,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2274.191941303746717
69,,,2352.972258750000037,2352.972258750000037,69,6.914064206960000,6.914064206960000,6.914064206957350,0,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2352.972258749764478
70,,,1265.145128820000082,1265.145128820000082,70,3.276432047630000,3.276432047630000,3.276432047628100,0,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1265.145128821154003
71,,,3678.620421439999973,3678.620421439999973,71,4.001850768770000,91.602711777899998,91.602711777859994,0,71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3678.620421445250940
72,,,109.214511172000002,109.214511172000002,72,0.006076201914640,94.885220027399996,94.885220027402696,0,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109.214511167710754
73,,,616.150620312000001,616.150620312000001,73,0.399456290455000,6.127329898140000,6.127329898141870,0,73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,616.150620317570656
74,,,7329.136631280000074,7329.136631280000074,74,23.934983893100000,3725.393082999999933,3725.393082996080011,0,74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7329.136631278006462
75,,,494.424376157999973,494.424376157999973,75,3.410908466100000,3.410908466100000,3.410908466096030,0,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,494.424376158939481
76,,,826.503664371000013,826.503664371000013,76,2.903014126050000,2.903014126050000,2.903014126045220,0,76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,826.503664370805723
77,,,992.560295947999975,992.560295947999975,77,2.824859481640000,2.824859481640000,2.824859481642060,0,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,992.560295943634401
78,,,7014.201824089999718,7014.201824089999718,78,7.392530542690000,3765.510660530000223,3765.510660530860150,0,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7014.201824089969705
79,,,1512.219170410000061,1512.219170410000061,79,0.679166028385000,17.334187068599999,17.334187068575300,0,79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1512.219170409774961
80,,,1076.262905280000041,1076.262905280000041,80,4.792797964340000,4.792797964340000,4.792797964338820,0,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1076.262905275516232
81,,,2707.791425490000165,2707.791425490000165,81,5.724997613660000,5.724997613660000,5.724997613663880,0,81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2707.791425495857311
82,,,846.381463448999966,846.381463448999966,82,0.550318792910000,81.875863395400003,81.875863395427700,0,82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,846.381463458843996
83,,,3019.754545740000140,3019.754545740000140,83,6.684901896520000,6.684901896520000,6.684901896517240,0,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3019.754545741456241
84,,,1156.147132090000014,1156.147132090000014,84,1.112577724470000,50.247153638500002,50.247153638477897,0,84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1156.147132092143920
85,,,925.985848415999953,925.985848415999953,85,0.561611515755000,64.359251888800003,64.359251888816303,0,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,925.985848418755722
86,,,5693.439763100000164,5693.439763100000164,86,13.692123109000001,13.692123109000001,13.692123108979400,0,86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5693.439763098464937
87,,,2720.794080239999857,2720.794080239999857,87,3.593439946820000,3.593439946820000,3.593439946817150,0,87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2720.794080229459269
88,,,2305.941039039999851,2305.941039039999851,88,2.225119809250000,13.587442585200000,13.587442585219700,0,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2305.941039041101703
